Probe_ID,median
cg13854874,0.194
cg13899108,0.498
cg13931228,0.111
cg13975369,0.319
cg14060828,0.173
cg14163776,0.253
cg14175438,0.218
cg14258236,0.95
cg14308452,0.905
cg14329157,0.212
cg14361627,0.166
cg14408969,0.06
cg14409958,0.088
cg14423778,0.418
cg14424579,0.034
cg14501253,0.084
cg14556683,0.238
cg14597908,0.524
cg14654875,0.516
cg14658362,0.049
cg14692377,0.108
cg14723032,0.836
cg14727952,0.078
cg14894144,0.406
cg14992253,0.152
cg15185286,0.041
cg15262928,0.052
cg15341340,0.07
cg15381769,0.064
cg15547534,0.053
cg15661409,0.936
cg15703512,0.072
cg15804973,0.437
cg15974053,0.06
cg15988232,0.508
cg16034652,0.627
cg16054275,0.475
cg16150435,0.856
cg16168311,0.196
cg16241714,0.016
cg16358826,0.156
cg16408394,0.051
cg16419235,0.125
cg16419345,0.045
cg16494477,0.099
cg16547529,0.58
cg16579101,0.08
cg16744741,0.431
cg16867657,0.599
cg16899442,0.227
cg16984944,0.214
cg17063929,0.208
cg17099569,0.87
cg17274064,0.234
cg17285325,0.031
cg17324128,0.204
cg17338403,0.181
cg17408647,0.047
cg17589341,0.504
cg17655614,0.348
cg17686885,0.161
cg17729667,0.155
cg17853587,0.103
cg17960516,0.084
cg18031008,0.049
cg18055007,0.106
cg18139769,0.552
cg18180783,0.957
cg18328933,0.706
cg18440048,0.189
cg18473521,0.542
cg18573383,0.101
cg18956095,0.097
cg18983672,0.943
cg18984151,0.277
cg19008809,0.054
cg19044674,0.092
cg19046959,0.096
cg19167673,0.132
cg19273182,0.088
cg19283806,0.287
cg19305227,0.946
cg19346193,0.922
cg19420968,0.935
cg19478743,0.08
cg19514928,0.11
cg19569684,0.873
cg19692710,0.915
cg19706682,0.16
cg19722847,0.181
cg19724470,0.275
cg19761273,0.288
cg19853760,0.57
cg19935065,0.573
cg19945840,0.473
cg20052760,0.288
cg20100381,0.098
cg20240860,0.27
cg20295671,0.015
cg20305610,0.053
cg20426994,0.069
cg20524216,0.054
cg20692569,0.45
cg20761322,0.127
cg20795863,0.959
cg20822990,0.361
cg20828084,0.916
cg20914508,0.156
cg20947775,0.068
cg20999813,0.047
cg21096399,0.204
cg21139312,0.918
cg21211748,0.078
cg21296230,0.188
cg21305265,0.042
cg21370143,0.886
cg21378206,0.946
cg21395782,0.068
cg21460081,0.044
cg21801378,0.044
cg21870884,0.305
cg21950518,0.108
cg22006386,0.048
cg22016779,0.242
cg22158769,0.022
cg22171829,0.393
cg22190114,0.943
cg22197830,0.743
cg22213242,0.836
cg22285878,0.028
cg22289837,0.36
cg22432269,0.044
cg22449114,0.386
cg22454769,0.483
cg22512670,0.65
cg22568540,0.906
cg22613010,0.099
cg22637507,0.067
cg22679120,0.73
cg22736354,0.266
cg22796704,0.663
cg22809047,0.733
cg22901840,0.634
cg22920873,0.012
cg22947000,0.481
cg23091758,0.044
cg23092072,0.044
cg23124451,0.548
cg23180365,0.019
cg23500537,0.429
cg23517605,0.203
cg23606718,0.107
cg23662675,0.031
cg23744638,0.783
cg23786576,0.061
cg23941599,0.146
cg24058132,0.529
cg24079702,0.288
cg24081819,0.116
cg24116886,0.932
cg24126851,0.826
cg24254120,0.047
cg24262469,0.352
cg24450312,0.039
cg24471894,0.215
cg24580001,0.927
cg24834740,0.045
cg24888049,0.64
cg24899750,0.676
cg25070637,0.071
cg25101936,0.649
cg25148589,0.214
cg25159610,0.038
cg25166896,0.056
cg25410668,0.563
cg25411725,0.902
cg25428494,0.386
cg25478614,0.367
cg25505610,0.037
cg25552492,0.139
cg25564800,0.25
cg25657834,0.127
cg25683012,0.039
cg25771195,0.545
cg25781123,0.05
cg25809905,0.651
cg25928579,0.091
cg26003813,0.111
cg26005082,0.067
cg26043391,0.066
cg26045434,0.127
cg26162695,0.019
cg26297688,0.053
cg26372517,0.312
cg26394940,0.14
cg26453588,0.523
cg26456957,0.051
cg26614073,0.523
cg26620959,0.083
cg26723847,0.11
cg26824091,0.079
cg26842024,0.13
cg26845300,0.059
cg27015931,0.155
cg27016307,0.467
cg27092035,0.07
cg27169020,0.409
cg27202708,0.398
cg27319898,0.07
cg27377450,0.913
cg27413543,0.083
cg27494383,0.049
cg27544190,0.131
ch.13.39564907R,0.08
ch.2.30415474F,0.082
